"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-04-20 ~ 2025-04-20"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 미추홀구"
"읍면동 : 용현동"
"면적 : 60㎡이하"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","인천광역시 미추홀구 용현동","3*","25m이상","23.00","월세","202504","19","300","35","1998","인하로","202504~202604","신규","-","","","단독다가구"
"2","인천광역시 미추홀구 용현동","3*","25m이상","42.31","월세","202504","18","500","40","1978","인하로","202505~202705","신규","-","","","단독다가구"
"3","인천광역시 미추홀구 용현동","*","12m미만","31.55","월세","202504","18","300","30","1993","인하로163번길","202505~202705","신규","-","","","단독다가구"
"4","인천광역시 미추홀구 용현동","5**","8m미만","55.00","전세","202504","16","4,000","0","1989","낙섬중로","202504~202704","갱신","-","3,000","0","단독다가구"
"5","인천광역시 미추홀구 용현동","5**","8m미만","23.14","월세","202504","15","300","35","2002","능해길46번길","202505~202704","신규","-","","","단독다가구"
"6","인천광역시 미추홀구 용현동","2**","8m미만","20.00","월세","202504","14","100","30","2002","독배로376번길","202505~202605","신규","-","","","단독다가구"
"7","인천광역시 미추홀구 용현동","6**","8m미만","45.00","월세","202504","13","500","45","2001","낙섬서로49번길","202504~202604","신규","-","","","단독다가구"
"8","인천광역시 미추홀구 용현동","4*","8m미만","29.00","월세","202504","12","300","50","1997","재넘이길","202505~202605","신규","-","","","단독다가구"
"9","인천광역시 미추홀구 용현동","5**","8m미만","23.14","월세","202504","11","300","30","2002","낙섬중로91번길","202504~202704","신규","-","","","단독다가구"
"10","인천광역시 미추홀구 용현동","1**","8m미만","57.84","월세","202504","10","1,000","40","1984","수봉남로6번길","202504~202704","신규","-","","","단독다가구"
"11","인천광역시 미추홀구 용현동","5**","8m미만","60.00","월세","202504","09","1,000","55","1989","낙섬중로","202505~202705","신규","-","","","단독다가구"
"12","인천광역시 미추홀구 용현동","6**","8m미만","23.00","월세","202504","09","300","30","1997","낙섬중로59번길","202504~202604","신규","-","","","단독다가구"
"13","인천광역시 미추홀구 용현동","6**","8m미만","28.05","월세","202504","08","300","35","2002","토금북로11번길","202504~202604","신규","-","","","단독다가구"
"14","인천광역시 미추홀구 용현동","4**","8m미만","48.52","전세","202504","07","4,000","0","","독배로404번길","202505~202705","신규","-","","","단독다가구"
"15","인천광역시 미추홀구 용현동","6**","8m미만","19.00","월세","202504","04","300","40","2016","낙섬서로18번길","202503~202603","신규","-","","","단독다가구"
"16","인천광역시 미추홀구 용현동","6**","8m미만","24.00","월세","202504","03","300","30","2001","토금중로51번길","202504~202604","신규","-","","","단독다가구"
"17","인천광역시 미추홀구 용현동","4**","8m미만","40.00","전세","202503","31","3,500","0","1983","인주대로153번길","202504~202704","신규","-","","","단독다가구"
"18","인천광역시 미추홀구 용현동","4**","8m미만","40.00","전세","202503","31","3,500","0","1983","인주대로153번길","202504~202704","신규","-","","","단독다가구"
"19","인천광역시 미추홀구 용현동","1**","12m미만","23.00","월세","202503","29","500","50","2002","인주대로224번길","202503~202601","신규","-","","","단독다가구"
"20","인천광역시 미추홀구 용현동","6**","8m미만","23.00","월세","202503","29","300","30","2017","낙섬서로18번길","202503~202603","신규","-","","","단독다가구"
