계약면적(㎡),보증금(만원),월세금(만원),건축년도,계약기간,도로조건_-,도로조건_12m미만,도로조건_25m미만,도로조건_25m이상,도로조건_8m미만
23.0,500,45,2021.0,12.0,0,0,1,0,0
17.0,300,45,2002.0,8.0,0,0,0,0,1
20.0,300,45,2016.0,12.0,0,0,0,0,1
45.0,1000,60,2013.0,24.0,0,1,0,0,0
20.0,200,30,1998.0,9.0,0,1,0,0,0
50.0,1000,60,2016.0,24.0,0,0,1,0,0
24.5,100,35,2009.0,12.0,0,0,0,0,1
47.0,2900,25,2016.0,24.0,0,1,0,0,0
14.0,100,24,2014.0,12.0,0,0,0,0,1
30.0,500,38,1988.0,12.0,0,1,0,0,0
50.0,1000,60,2013.0,24.0,0,0,1,0,0
15.0,500,55,2015.0,24.0,0,0,1,0,0
18.91,100,27,2002.0,9.0,0,1,0,0,0
20.0,300,38,2014.0,11.0,0,0,0,0,1
23.1,300,45,2001.0,22.0,0,1,0,0,0
23.0,300,30,2016.0,11.0,0,0,0,0,1
23.0,500,41,1997.0,12.0,0,0,0,0,1
20.0,300,35,2002.0,11.0,0,0,0,0,1
16.0,300,35,2019.0,12.0,0,1,0,0,0
27.0,300,45,2002.0,12.0,0,0,0,0,1
25.0,200,32,2002.0,10.0,0,0,0,0,1
17.0,300,38,1997.0,11.0,0,1,0,0,0
33.0,300,45,1990.0,12.0,0,0,0,0,1
23.0,300,30,2000.0,12.0,0,1,0,0,0
15.0,300,45,2018.0,12.0,0,1,0,0,0
23.14,300,35,2002.0,12.0,0,0,0,0,1
20.0,50,40,2002.0,4.0,0,0,0,0,1
45.0,1000,60,2018.0,24.0,0,0,0,0,1
45.0,1000,65,2018.0,24.0,0,0,1,0,0
27.96,300,35,2019.0,12.0,0,0,0,0,1
23.0,200,25,2002.0,11.0,0,1,0,0,0
26.0,300,30,2009.0,12.0,0,0,0,0,1
20.0,300,40,2017.0,12.0,0,0,0,0,1
20.0,100,30,2001.0,12.0,0,0,0,0,1
34.0,300,60,2016.0,11.0,0,1,0,0,0
16.5,200,37,2019.0,10.0,0,0,0,0,1
22.0,300,37,2001.0,11.0,0,1,0,0,0
18.0,300,42,2003.0,11.0,0,1,0,0,0
26.0,200,44,1993.0,10.0,0,0,0,0,1
15.0,100,29,2009.0,11.0,0,0,0,0,1
22.0,300,40,2015.0,12.0,0,0,0,0,1
32.04,300,40,1999.0,12.0,0,0,0,0,1
29.7,300,45,2019.0,24.0,0,0,0,0,1
18.18,300,37,1997.0,11.0,0,1,0,0,0
